frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
integer[]|integer[]|numeric[]|text|numeric[]

{{0,1,1,1},{1,2,2,2},{0,1,1,1},{1,2,1,0},{0,1,1,1},{1,2,1,0},{2,2,0,1},{0,2,2,2},{1,2,2,2},{1,0,2,1},{0,2,2,2},{1,2,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,2,1,0},{1,2,2,2},{0,2,2,2},{1,2,1,0},{1,2,2,2},{2,2,0,1},{2,2,0,1},{1,0,2,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1,-4,4,1,-2,-1,5,-4,1}|3.2.5.3|{-1,4,0,-1,1}
{{0,2,2,1},{0,1,2,0},{0,2,2,1},{2,2,0,2},{0,1,1,2},{1,2,0,1},{0,2,2,1},{2,0,1,1},{1,2,0,1},{0,1,2,0},{2,0,1,1},{2,2,0,2},{2,0,1,1},{0,2,2,1},{0,2,2,1},{2,2,0,2},{1,2,0,1},{0,1,1,2},{2,2,0,2},{2,2,0,2},{0,1,1,2},{2,0,1,1},{1,2,0,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,4,0,-6,0,0,0,1}|3.2.8.1|{3,-6,0,-2,1}
{{1,1,2,1},{0,2,1,0},{2,2,1,2},{1,2,1,0},{2,2,1,2},{1,2,1,0},{2,2,1,2},{1,0,0,2},{1,2,1,0},{0,2,1,0},{1,0,0,2},{0,2,1,2},{1,0,0,2},{1,1,2,1},{2,2,1,2},{1,2,1,0},{1,2,1,0},{1,1,2,1},{1,2,1,0},{0,2,1,2},{1,1,2,1},{1,0,0,2},{0,2,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,0,12,0,0,0,-4,0,1}|3.2.16.5|{3,-6,0,-2,1}
{{0,1,1,1},{2,2,0,1},{0,2,1,1},{0,1,1,1},{2,1,2,0},{0,2,2,2},{0,2,2,2},{0,1,1,1},{2,2,2,1},{2,2,2,1},{2,2,0,1},{1,0,0,1},{2,2,0,1},{0,1,1,1},{0,1,1,1},{2,1,2,0},{2,1,2,0},{2,2,0,1},{0,2,1,1},{0,2,1,1},{2,2,0,1},{2,2,0,1},{2,1,2,0}}|{2,5,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-13,25,-34,17,-5,-7,7,-4,1}|3.2.19.1|{-5,8,6,-1,1}
{{0,2,2,2},{2,2,0,1},{0,2,1,1},{0,2,2,2},{2,1,2,0},{0,1,1,1},{0,1,1,1},{0,2,2,2},{2,2,2,1},{2,2,2,1},{2,2,0,1},{1,0,0,1},{2,2,0,1},{0,2,2,2},{0,2,2,2},{2,1,2,0},{2,1,2,0},{2,2,0,1},{0,2,1,1},{0,2,1,1},{2,2,0,1},{2,2,0,1},{2,1,2,0}}|{2,5,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-13,25,-34,17,-5,-7,7,-4,1}|3.2.19.2|{-5,8,6,-1,1}
{{1,1,0,1},{1,1,2,1},{2,1,0,2},{2,2,1,2},{2,1,0,2},{1,1,2,1},{1,1,2,1},{2,1,0,2},{0,2,1,0},{0,1,1,0},{2,1,0,2},{1,1,2,1},{0,1,1,0},{2,2,1,2},{2,1,0,2},{1,1,0,1},{0,1,1,0},{0,2,1,0},{0,2,1,0},{2,2,1,2},{0,1,1,0},{2,1,0,2}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,-12,0,-6,0,0,0,1}|3.2.40.6|{4,-8,0,-2,1}
{{2,2,0,1},{1,2,2,0},{1,1,0,1},{2,1,1,0},{1,1,0,1},{1,2,2,0},{2,2,0,2},{1,2,2,0},{1,2,2,0},{2,0,0,2},{1,1,0,1},{2,2,0,2},{1,2,2,0},{1,2,2,0},{2,2,0,1},{1,2,2,2},{2,2,0,2},{2,2,0,1},{2,2,0,2},{2,2,0,2},{1,2,2,0},{2,2,0,1},{2,2,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{-16,-4,22,-47,52,-37,17,-4,1}|3.2.41.4|{-16,-44,-18,-1,1}
{{1,1,2,1},{2,1,2,0},{2,2,1,2},{0,1,2,1},{1,1,2,1},{2,0,0,2},{2,2,1,2},{2,2,2,1},{2,1,2,0},{0,2,2,0},{0,1,2,1},{0,2,2,0},{2,2,1,2},{0,2,2,0},{0,1,2,1},{2,1,2,0},{0,2,2,0},{2,2,2,1},{2,2,2,1},{2,2,1,2},{0,2,2,0},{2,2,2,1}}|{5,7,11,13,17,19,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-8,20,-26,-1,-17,2,-2,-1,1}|3.2.46.5|{-2,5,3,-1,1}
{{1,1,2,1},{1,0,0,2},{2,1,0,2},{1,0,0,2},{2,1,1,1},{1,0,0,2},{1,1,0,1},{2,2,1,2},{1,1,2,1},{2,1,1,1},{2,1,1,1},{2,2,1,2},{2,1,1,1},{1,1,2,1},{1,0,0,2},{1,1,0,1},{2,1,0,2},{1,0,0,2},{1,1,0,1},{1,1,0,1},{2,2,1,2},{1,1,2,1},{2,1,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,53,59,61,67,71,73,79,83,89,97}|{-1,-8,2,11,-2,-7,7,-4,1}|3.2.47.5|{-1,-8,-6,-1,1}
{{2,0,1,2},{0,1,1,2},{1,1,1,2},{0,2,2,1},{1,1,1,2},{0,2,2,1},{1,0,2,2},{2,0,1,2},{2,0,1,2},{0,1,1,2},{2,0,1,2},{0,1,1,2},{1,0,2,2},{0,2,2,1},{0,1,2,2},{0,1,2,2},{1,0,2,2},{2,0,1,2},{1,1,1,2},{0,2,2,1},{0,1,1,2},{1,0,0,1}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-24,12,30,-23,4,13,-5,-2,1}|3.2.50.1|{-16,-8,0,-1,1}
{{1,2,2,0},{1,1,0,2},{2,0,2,2},{2,1,1,0},{2,0,2,2},{2,1,1,0},{1,0,2,1},{1,1,0,2},{1,1,0,2},{0,2,1,0},{1,0,2,1},{1,2,2,0},{2,0,2,2},{2,1,1,0},{1,1,0,2},{1,1,0,2},{1,0,2,1},{2,1,1,0},{2,0,2,2},{0,2,1,0},{2,1,1,0},{1,2,2,0},{2,0,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,67,71,73,79,83,89,97}|{-3,0,0,0,6,0,-1,0,1}|3.2.61.1|{-3,0,6,-1,1}
{{0,2,2,1},{0,2,1,0},{0,1,1,2},{0,2,1,2},{0,2,2,1},{0,2,1,2},{0,2,2,1},{2,1,0,1},{2,1,0,2},{0,2,1,0},{2,1,0,1},{2,1,0,2},{2,1,0,1},{0,2,2,1},{0,1,1,2},{0,2,1,2},{0,2,1,2},{0,1,1,2},{2,1,0,2},{0,2,1,2},{0,2,2,1},{2,1,0,1},{0,2,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,6,0,18,0,4,0,1}|3.2.64.8|{3,-6,0,-2,1}
{{2,2,1,2},{0,2,2,0},{0,1,2,1},{0,2,2,0},{0,1,2,1},{1,1,2,1},{2,2,1,2},{1,0,1,1},{0,1,2,1},{2,2,1,2},{0,1,2,0},{0,2,2,0},{2,2,1,2},{0,2,2,0},{0,1,2,1},{0,1,2,1},{1,1,2,1},{0,1,2,1},{0,1,2,1},{1,1,2,1},{0,2,2,0},{1,0,1,1}}|{2,5,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-675,0,519,0,-90,0,0,0,1}|3.2.77.2|{-7,1,-9,-1,1}
{{1,2,1,1},{2,1,2,2},{1,1,1,2},{1,2,1,1},{2,0,1,2},{2,0,0,1},{2,1,2,2},{1,0,1,1},{1,1,1,2},{2,1,2,2},{1,0,1,1},{2,1,2,2},{2,0,0,1},{2,1,2,2},{1,0,1,1},{1,1,1,2},{2,0,0,1},{1,0,1,1},{2,0,1,2},{2,1,2,2},{2,0,0,1},{1,0,1,1}}|{2,5,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-23,89,-92,5,1,-7,7,-4,1}|3.2.77.6|{-3,-41,-6,0,1}
{{1,1,1,0},{2,1,0,1},{1,0,1,1},{2,2,2,0},{2,1,1,1},{2,1,0,1},{2,0,1,2},{1,1,1,0},{2,1,0,1},{1,0,1,1},{2,0,1,2},{1,1,1,0},{2,0,1,2},{2,2,2,0},{1,1,1,0},{2,1,0,1},{1,0,1,1},{1,0,1,1},{2,1,0,1},{1,0,1,1},{2,1,0,1},{1,1,1,0},{1,0,0,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{-243,0,141,0,-15,0,-3,0,1}|3.2.79.1|{-1,-8,6,-1,1}
{{2,0,1,2},{2,1,1,1},{1,1,2,1},{2,1,1,1},{1,1,0,1},{2,2,1,2},{2,1,1,1},{1,1,0,1},{1,1,2,1},{1,1,0,1},{1,1,2,1},{2,2,1,2},{1,0,0,2},{2,2,1,2},{1,1,2,1},{1,0,0,2},{2,2,1,2},{1,1,0,1},{1,0,0,2},{1,1,0,1},{2,0,1,2},{1,1,0,1},{2,0,1,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{3,-13,-2,9,-12,0,6,-4,1}|3.2.79.6|{-4,7,0,-1,1}
{{2,0,1,2},{2,1,1,1},{2,2,1,2},{2,1,1,1},{1,1,0,1},{1,1,2,1},{2,1,1,1},{1,1,0,1},{2,2,1,2},{1,1,0,1},{2,2,1,2},{1,1,2,1},{1,0,0,2},{1,1,2,1},{2,2,1,2},{1,0,0,2},{1,1,2,1},{1,1,0,1},{1,0,0,2},{1,1,0,1},{2,0,1,2},{1,1,0,1},{2,0,1,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{3,-13,-2,9,-12,0,6,-4,1}|3.2.79.7|{-4,7,0,-1,1}
{{1,1,1,2},{1,1,2,1},{1,1,1,2},{1,0,0,2},{1,2,1,0},{1,0,0,2},{1,1,2,1},{0,1,2,2},{1,2,1,0},{1,0,0,2},{1,1,1,2},{1,1,2,1},{1,0,0,2},{1,0,0,2},{0,1,2,2},{0,1,2,2},{1,1,2,1},{1,1,1,2},{0,1,2,2},{1,0,0,2},{1,1,2,1},{0,1,2,2}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,28,0,-6,0,0,0,1}|3.2.80.8|{-3,-28,-6,0,1}
{{1,2,1,1},{1,2,1,1},{0,2,1,2},{2,1,2,2},{0,2,1,2},{0,1,1,0},{0,1,2,1},{2,1,2,2},{0,1,1,0},{2,2,2,1},{0,1,2,1},{0,1,1,0},{0,2,1,2},{0,1,1,0},{0,1,1,0},{2,1,2,2},{2,2,2,1},{2,2,2,1},{1,2,1,1},{0,1,2,1},{2,2,2,1},{0,1,1,0},{2,2,2,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,97}|{-7,16,-22,11,-2,-7,7,-4,1}|3.2.89.3|{-3,-5,6,0,1}
{{2,1,1,0},{1,1,0,2},{1,0,1,1},{2,1,1,0},{2,0,1,2},{1,2,2,0},{2,0,0,2},{2,1,1,0},{1,1,0,2},{1,0,1,1},{2,0,1,2},{1,1,0,2},{2,0,1,2},{2,1,1,0},{1,2,2,0},{1,2,2,0},{1,0,1,1},{1,0,1,1},{2,1,1,0},{0,1,2,0},{2,0,1,2},{2,1,1,0},{1,2,2,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89}|{-211,-128,74,107,-50,-7,7,-4,1}|3.2.97.3|{-27,-51,-18,0,1}
{{1,0,2,2},{1,0,1,1},{0,2,2,1},{1,0,2,2},{1,0,1,1},{0,2,2,1},{0,2,2,1},{0,1,2,1},{0,1,2,1},{1,0,2,2},{1,0,1,1},{0,1,1,2},{0,2,2,1},{0,2,2,1},{0,1,2,1},{1,0,1,1},{0,1,1,2},{1,0,1,1},{1,0,1,1},{1,0,2,2},{1,0,2,2},{0,1,2,1}}|{5,7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-300,0,-116,0,-60,0,0,0,1}|3.2.104.3|{-27,-12,18,0,1}
{{2,1,2,2},{1,2,0,1},{1,2,1,1},{1,0,0,2},{0,1,2,1},{1,2,1,1},{1,0,0,2},{1,2,0,1},{1,2,0,1},{2,1,2,2},{1,2,0,1},{1,0,0,2},{1,0,0,2},{1,0,0,2},{2,2,2,1},{2,2,2,1},{1,2,1,1},{2,0,0,2},{2,2,2,1},{2,1,2,2},{2,1,2,2},{1,0,0,1}}|{5,7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-48,0,0,0,24,0,-4,0,1}|3.2.104.7|{-3,0,6,-2,1}
{{1,1,2,1},{0,2,2,0},{0,1,2,2},{1,1,2,1},{2,1,1,1},{1,1,2,1},{0,2,1,1},{1,1,2,1},{1,1,2,1},{2,1,1,1},{0,1,2,2},{2,2,1,2},{0,1,2,2},{0,2,2,0},{0,2,2,0},{0,2,2,0},{0,2,1,1},{2,1,1,1},{0,2,2,0},{0,2,1,1},{0,1,2,2},{1,1,2,1},{1,1,2,1},{2,0,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-47,23,-14,-25,31,-25,13,-4,1}|3.2.109.3|{-5,-7,-9,-1,1}
{{0,2,1,2},{0,2,2,2},{1,2,1,0},{1,2,2,2},{0,1,1,1},{1,2,1,0},{0,2,2,2},{0,2,1,2},{1,1,0,2},{1,2,1,0},{0,2,2,2},{0,2,1,2},{1,2,1,0},{1,2,1,0},{1,2,2,2},{1,2,1,0},{0,2,1,2},{1,1,0,2},{0,1,1,1},{0,2,1,2},{0,2,2,2},{0,2,2,2},{0,1,1,1},{0,2,1,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-8,-13,10,2,10,-16,10,-4,1}|3.2.109.5|{-2,-1,0,-1,1}
{{1,0,1,2},{0,1,1,1},{2,1,1,1},{0,1,1,1},{0,1,2,1},{0,2,2,2},{2,0,0,2},{0,2,2,2},{0,1,1,1},{2,1,2,0},{0,1,2,1},{1,0,1,2},{2,1,1,1},{1,0,1,2},{0,2,2,2},{1,0,1,2},{2,1,1,1},{2,1,2,0},{0,2,2,2},{0,1,2,1},{2,1,2,0},{0,2,2,2},{0,2,2,2},{0,1,2,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-27,0,-69,0,48,0,15,0,1}|3.2.113.1|{-12,-25,-12,0,1}
{{2,1,2,2},{0,2,2,0},{2,0,0,2},{2,1,2,2},{2,1,0,2},{2,1,2,2},{0,2,1,0},{2,1,2,2},{2,1,2,2},{2,2,1,0},{2,2,1,0},{2,1,2,2},{0,2,1,0},{0,2,2,0},{0,2,2,0},{0,2,2,0},{0,2,1,0},{2,1,0,2},{2,1,2,2},{2,2,1,0},{2,2,1,0},{0,2,2,0},{0,2,2,0},{2,1,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-27,45,-54,-9,-30,6,-6,-1,1}|3.2.113.6|{-3,9,3,-1,1}
{{1,0,1,2},{2,2,1,0},{2,1,1,0},{0,2,1,1},{2,1,1,0},{2,2,2,1},{1,0,1,2},{1,2,2,0},{0,2,1,1},{2,2,2,1},{2,1,1,0},{2,2,2,1},{1,0,1,2},{2,1,1,0},{2,2,2,1},{0,2,1,1},{2,1,1,0},{2,2,2,1},{2,2,2,1},{2,1,1,0},{2,1,1,0},{2,2,2,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{2,-22,70,-83,10,35,-7,-4,1}|3.2.118.7|{3,-12,-6,-2,1}
{{2,1,2,2},{2,0,2,2},{2,1,2,2},{1,0,0,2},{1,0,0,2},{1,0,0,2},{0,2,1,0},{2,1,2,2},{2,0,2,2},{2,2,1,0},{1,0,0,2},{1,0,0,2},{2,0,2,2},{2,2,1,0},{2,2,1,0},{2,1,2,2},{2,2,1,0},{2,0,2,2},{2,1,2,2},{1,0,0,2},{1,2,1,1},{0,2,1,0},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-57,183,-75,-21,-21,42,-14,-1,1}|3.2.121.1|{37,2,-12,-1,1}
{{0,1,1,2},{1,0,1,1},{0,2,2,1},{1,0,2,2},{1,0,2,2},{1,0,2,2},{1,2,2,2},{0,1,1,2},{2,0,2,2},{1,0,1,1},{1,0,2,2},{1,0,2,2},{1,0,1,1},{2,0,2,2},{2,0,2,2},{0,2,2,1},{1,0,1,1},{1,0,1,1},{0,2,2,1},{1,0,2,2},{0,2,2,1},{1,2,2,2},{2,0,2,2}}|{2,5,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-11,0,-11,0,33,0,-11,0,1}|3.2.121.5|{37,2,-12,-1,1}
{{1,2,1,1},{1,0,1,1},{2,1,2,2},{1,0,1,1},{2,1,2,2},{1,0,1,1},{2,1,2,2},{0,1,1,0},{0,1,2,0},{2,0,1,2},{0,1,1,0},{0,1,2,0},{2,1,2,2},{0,1,1,0},{1,2,1,1},{1,0,1,1},{2,0,1,2},{0,1,1,0},{1,0,1,1},{2,0,1,2},{0,1,1,0},{2,1,2,2},{2,0,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,-8,0,6,0,0,0,1}|3.2.128.7|{-6,-4,0,0,1}
{{1,2,1,1},{1,1,0,1},{2,1,2,2},{2,1,0,2},{1,2,1,1},{2,1,0,2},{1,2,1,1},{1,0,0,2},{1,1,1,2},{1,1,0,1},{1,0,0,2},{1,1,1,2},{1,2,1,1},{1,0,0,2},{1,2,1,1},{2,1,0,2},{1,1,0,1},{1,0,0,2},{1,1,0,1},{2,1,0,2},{1,0,0,2},{1,2,1,1},{2,1,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,0,0,6,0,8,0,1}|3.2.128.11|{-6,-4,0,0,1}
{{1,1,1,0},{0,2,1,1},{1,1,1,0},{1,0,2,1},{2,2,2,0},{0,2,1,1},{1,1,1,0},{1,2,0,2},{0,2,1,0},{0,2,1,1},{1,2,0,2},{0,2,1,0},{1,1,1,0},{1,2,0,2},{2,2,2,0},{1,0,2,1},{1,0,2,1},{1,2,0,2},{1,0,2,1},{1,0,2,1},{1,2,0,2},{2,2,2,0},{0,2,1,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,0,0,18,0,8,0,1}|3.2.128.13|{-6,-4,0,0,1}
{{2,1,0,2},{1,0,1,2},{0,1,1,1},{2,1,0,2},{0,2,2,2},{0,2,2,2},{2,1,0,2},{1,1,0,1},{1,0,1,2},{1,1,1,2},{1,0,1,2},{0,1,1,1},{1,0,1,2},{1,1,0,1},{1,1,0,1},{0,2,2,2},{1,1,1,2},{2,1,0,2},{0,2,2,2},{0,1,1,1},{1,1,1,2}}|{7,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-5490,2277,-2520,485,-239,-7,7,-4,1}|3.2.130.1|{-104,-91,-39,-1,1}
{{2,2,1,2},{2,2,0,2},{2,2,0,2},{0,1,2,2},{0,1,2,0},{2,2,1,2},{2,0,0,1},{2,0,0,1},{2,2,1,2},{2,0,0,1},{2,2,1,2},{0,1,2,2},{2,2,0,2},{2,0,0,1},{0,1,2,0},{0,1,2,0},{0,1,2,0},{2,0,0,1},{2,2,1,2},{1,1,2,1},{1,1,2,1},{1,1,2,1},{2,2,0,2},{2,0,0,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-23,-11,10,22,16,1,-5,-2,1}|3.2.131.4|{-1,-5,-3,-1,1}
{{1,1,0,2},{0,2,1,1},{0,1,1,1},{0,2,1,0},{1,1,0,2},{1,1,0,1},{1,1,0,2},{0,2,2,2},{1,1,0,1},{1,1,0,1},{0,1,1,1},{1,1,0,1},{1,1,0,2},{1,1,0,2},{0,2,2,2},{0,2,1,0},{1,1,0,1},{0,2,2,2},{1,1,0,1},{0,2,2,2},{0,1,1,1},{1,1,0,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,79,83,89,97}|{-432,0,348,0,-72,0,0,0,1}|3.2.146.4|{-340,-197,27,-1,1}
{{2,2,1,2},{1,2,0,1},{0,2,2,0},{2,2,0,2},{1,1,2,1},{2,2,1,2},{1,2,0,1},{1,2,2,2},{0,2,2,0},{1,2,0,1},{1,1,2,1},{1,1,2,1},{1,1,2,1},{2,2,0,2},{1,2,0,1},{2,2,1,2},{2,2,0,2},{2,2,0,2},{1,1,2,1},{1,1,2,1},{1,2,2,2}}|{5,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-34,133,-136,5,1,-7,7,-4,1}|3.2.154.8|{-12,45,3,-1,1}
{{2,0,2,2},{0,2,2,2},{1,1,0,2},{0,1,1,1},{1,0,2,1},{1,0,2,1},{2,2,2,1},{0,1,1,1},{0,2,2,2},{1,1,0,2},{0,1,1,1},{2,0,2,2},{2,2,2,1},{0,1,1,1},{1,0,2,1},{1,1,0,2},{0,2,2,2},{1,1,0,2},{2,0,2,2},{2,0,2,2},{0,1,1,1},{0,1,1,1}}|{2,7,11,13,17,19,23,29,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-41,17,-14,-10,16,-16,10,-4,1}|3.2.155.3|{-24,-15,-3,0,1}
{{2,2,0,2},{2,2,0,2},{1,2,1,1},{0,2,2,0},{2,2,0,2},{2,1,2,2},{2,2,0,2},{2,2,2,1},{2,2,0,2},{2,2,2,1},{2,2,2,1},{2,2,0,2},{2,1,2,2},{2,1,2,2},{2,2,2,1},{1,0,2,1},{2,1,2,2},{2,2,0,2},{0,2,2,0},{0,2,2,0},{2,1,2,2},{1,0,2,1},{1,2,1,1},{0,2,2,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-101,112,-8,-21,9,24,13,-2,1}|3.2.157.7|{-8,1,-3,-2,1}
{{1,0,1,2},{2,1,1,0},{0,1,2,2},{2,1,1,0},{1,1,1,2},{2,1,1,0},{0,1,2,2},{2,1,1,0},{1,2,2,0},{2,0,0,2},{1,1,1,2},{1,0,1,2},{2,0,0,2},{1,0,1,2},{2,1,1,0},{2,1,1,0},{1,2,1,0},{0,1,2,2},{2,1,1,0},{1,1,1,2},{1,2,1,0},{1,0,1,2},{1,0,1,2},{0,1,2,2}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-108,0,111,0,-36,0,0,0,1}|3.2.167.6|{-108,-111,-36,0,1}
{{2,2,0,2},{1,2,0,1},{0,1,1,1},{1,2,0,1},{0,1,2,0},{0,1,2,0},{0,1,1,1},{1,1,0,2},{0,1,1,1},{1,2,0,1},{2,2,0,2},{1,1,0,2},{1,2,0,1},{0,2,2,2},{2,2,0,2},{0,1,2,0},{1,1,0,2},{2,2,0,2},{1,2,0,1},{2,2,0,2},{0,2,2,2},{0,1,1,1},{1,1,0,2},{0,1,1,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-20,-14,-11,10,4,1,-2,-2,1}|3.2.173.6|{-2,1,3,-2,1}
{{2,0,2,2},{2,2,1,2},{1,2,2,2},{2,0,2,2},{2,2,1,2},{2,2,1,2},{1,2,2,2},{1,1,2,1},{1,2,2,2},{1,0,1,1},{1,0,0,2},{1,1,2,1},{1,0,1,1},{1,1,2,1},{2,0,2,2},{1,0,0,2},{2,2,1,2},{1,0,1,1},{1,0,0,2},{1,1,2,1},{1,0,1,1},{1,0,1,1}}|{5,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{33,60,15,-24,18,-42,7,-2,1}|3.2.176.17|{-12,12,-3,-1,1}
{{0,2,2,1},{0,1,1,2},{1,0,2,2},{0,1,1,2},{0,1,1,2},{1,0,2,2},{1,0,1,1},{2,1,0,2},{0,1,1,2},{0,2,2,1},{1,0,1,1},{0,1,1,2},{0,1,1,2},{1,0,2,2},{2,1,0,2},{0,2,2,1},{1,0,1,1},{0,2,2,1},{1,0,1,1},{2,1,0,2},{2,1,0,2},{2,1,0,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,97}|{-8,-20,34,-11,-2,7,-5,-2,1}|3.2.178.4|{-2,-1,-3,-1,1}
{{1,0,0,2},{1,1,2,1},{1,2,0,1},{1,1,2,1},{1,2,0,1},{1,1,2,1},{2,2,0,2},{2,2,1,2},{1,1,2,1},{2,2,0,2},{2,2,0,2},{2,2,1,2},{1,2,2,2},{1,0,0,2},{2,2,1,2},{1,0,0,2},{2,2,0,2},{1,0,0,1},{1,1,2,1},{2,2,0,2},{1,2,0,1},{1,1,2,1},{1,0,0,2},{1,0,0,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-972,0,135,0,108,0,0,0,1}|3.2.179.1|{-12,-5,12,0,1}
{{1,0,0,2},{2,1,2,2},{1,1,1,2},{1,0,0,2},{1,1,1,2},{1,0,0,2},{1,1,0,1},{2,1,2,2},{1,0,0,2},{1,1,1,2},{2,1,0,2},{1,0,0,2},{1,1,0,1},{2,1,2,2},{1,2,1,1},{2,1,2,2},{2,1,0,2},{1,1,1,2},{1,0,0,2},{1,1,0,1},{2,1,0,2},{1,2,1,1},{1,0,0,2},{1,1,0,1}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-144,-99,54,89,-41,-7,7,-4,1}|3.2.179.5|{-8,-115,-21,-1,1}
{{1,2,2,0},{1,2,2,0},{1,2,1,0},{2,1,1,0},{0,2,1,2},{1,0,1,2},{0,2,1,2},{1,2,2,0},{2,1,1,0},{1,2,1,0},{0,2,1,2},{1,2,2,0},{0,2,1,0},{1,0,1,2},{2,1,1,0},{2,1,1,0},{0,2,1,2},{0,2,1,0},{1,0,1,2},{1,2,1,0},{1,2,1,0},{2,1,1,0},{1,0,1,2},{0,2,1,0}}|{2,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-81,81,-54,-55,31,-7,7,-4,1}|3.2.179.7|{-81,81,27,-1,1}
{{1,1,1,2},{2,2,1,2},{1,0,1,1},{1,1,2,1},{2,2,1,2},{1,0,0,2},{2,0,0,2},{1,1,1,2},{2,2,1,2},{1,0,1,1},{1,0,0,2},{1,0,0,2},{1,0,0,2},{1,1,2,0},{1,1,2,0},{1,1,2,1},{1,1,1,2},{1,0,1,1},{1,0,0,2},{2,2,1,2},{1,0,1,1}}|{7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1016,2319,-1697,839,-285,41,1,-3,1}|3.2.190.4|{6,-51,-9,-1,1}
